id,value
1,abstract-print
2,animal
3,baroque
4,basic
5,beach
6,bird-print
7,boho
8,botanical-print
9,camouflage
10,cargo
11,chic
12,chiffon
13,circle
14,civil
15,colorblock
16,cotton
17,cozy
18,crochet
19,cute
20,denim
21,dotted
22,elegant
23,everyday
24,fancy
25,faux-fur
26,faux-leather
27,faux-suede
28,feather
29,floral
30,fur
31,glitter
32,graphic
33,grid-print
34,grunge
35,knotted
36,leaf-print
37,leather
38,leopard-print
39,linen
40,linen-blend
41,logo
42,luxe
43,marble-print
44,medallion-print
45,mesh
46,metallic
47,mixed-print
48,multi-stripe
49,neon
50,neoprene
51,nets
52,netted
53,nylon
54,oil
55,ombre
56,organza
57,ornate-print
58,paisley-print
59,palm-print
60,party
61,patched
62,pattern
63,pleated
64,print
65,relaxed
66,retro
67,safari
68,sateen
69,satin
70,sheer
71,smart
72,soft
73,solid
74,sophisticated
75,sparkling
76,sporty
77,springs
78,square
79,star
80,strap
81,stretch
82,striped
83,suede
84,summer
85,sweet
86,textured
87,thermal
88,tie-dye
89,training
90,triangle
91,tropical
92,tweed
93,utility
94,velvet
95,weekend
96,workout
97,woven
98,zigzag
