id,value,category
1,t-shirt,top
2,shirt,top
3,dress-shirt,top
4,button-up-shirt,top
5,flannel-shirt,top
6,sweater,top
7,hoodie,top
8,jacket,top
9,coat,top
10,trench-coat,top
11,suit-jacket,top
12,denim-jacket,top
13,leather-jacket,top
14,polo-shirt,top
15,knit-top,top
16,vest,top
17,sweater-vest,top
18,tank-top,top
19,turtleneck,top
20,dress,bottom
21,skirt,bottom
22,long-skirt,bottom
23,pants,bottom
24,jeans,bottom
25,shorts,bottom
26,suit-pants,bottom
27,yoga-pants,bottom
28,sweatpants,bottom
29,overalls,bottom
30,jumpsuit,bottom
31,pajamas,bottom
32,bathrobe,bottom
33,cotton-pants,bottom
34,wool-pants,bottom
35,leggings,bottom
36,windproof-pants,bottom
37,cotton-vest,top
38,down-jacket,top
39,ski-jacket,top
40,cotton-coat,top
41,thermal-underwear,bottom
42,padded-jacket,top
43,winter-sportswear,top
44,insulated-vest,top
45,thick-jeans,bottom
46,college-sweatshirt,top
